ID,WeekDay,Breakfast_Start,Breakfast_End,Lunch_Start,Lunch_End,Dinner_Start,Dinner_End,Breakfast,Lunch,Dinner
19,Friday,,,11:30:00,14:30:00,18:30:00,23:59:00,0,1,1
20,Sunday,,,12:00:00,17:00:00,17:00:00,21:30:00,0,1,1
20,Thursday,,,12:00:00,17:00:00,17:00:00,21:30:00,0,1,1
20,Friday,,,12:00:00,17:00:00,17:00:00,21:30:00,0,1,1
20,Wednesday,,,12:00:00,17:00:00,17:00:00,21:30:00,0,1,1
20,Monday,,,12:00:00,17:00:00,17:00:00,21:30:00,0,1,1
20,Tuesday,,,12:00:00,17:00:00,17:00:00,21:30:00,0,1,1
20,Saturday,,,12:00:00,17:00:00,17:00:00,21:30:00,0,1,1
21,Saturday,,,12:00:00,15:00:00,18:00:00,23:50:00,0,1,1
21,Tuesday,,,12:00:00,15:00:00,18:00:00,23:50:00,0,1,1
21,Thursday,,,12:00:00,15:00:00,18:00:00,23:50:00,0,1,1
21,Monday,,,12:00:00,15:00:00,18:00:00,23:50:00,0,1,1
21,Friday,,,18:00:00,23:50:00,,,0,1,1
21,Sunday,,,12:00:00,15:00:00,18:00:00,23:50:00,0,1,1
21,Wednesday,,,12:00:00,15:00:00,18:00:00,23:50:00,0,1,1
22,Sunday,,,13:00:00,18:00:00,18:00:00,23:00:00,0,1,1
22,Saturday,,,13:00:00,18:00:00,18:00:00,23:00:00,0,1,1
22,Thursday,,,13:00:00,18:00:00,18:00:00,23:00:00,0,1,1
22,Friday,,,13:00:00,18:00:00,18:00:00,23:00:00,0,1,1
22,Tuesday,,,13:00:00,18:00:00,18:00:00,23:00:00,0,1,1
22,Monday,,,13:00:00,18:00:00,18:00:00,23:00:00,0,1,1
22,Wednesday,,,13:00:00,18:00:00,18:00:00,23:00:00,0,1,1
23,Friday,,,17:30:00,23:50:00,,,0,1,1
23,Saturday,,,11:00:00,17:00:00,17:00:00,23:50:00,0,1,1
23,Tuesday,,,11:00:00,17:00:00,17:00:00,23:50:00,0,1,1
23,Monday,,,11:00:00,17:00:00,17:00:00,23:50:00,0,1,1
23,Sunday,,,11:00:00,17:00:00,17:00:00,23:50:00,0,1,1
23,Thursday,,,11:00:00,17:00:00,17:00:00,23:50:00,0,1,1
23,Wednesday,,,11:00:00,17:00:00,17:00:00,23:50:00,0,1,1
24,Wednesday,,,12:00:00,18:00:00,18:00:00,23:59:00,0,1,1
24,Monday,,,12:00:00,18:00:00,18:00:00,23:59:00,0,1,1
24,Thursday,,,12:00:00,18:00:00,18:00:00,23:59:00,0,1,1
24,Sunday,,,12:00:00,18:00:00,18:00:00,23:59:00,0,1,1
24,Saturday,,,12:00:00,18:00:00,18:00:00,23:59:00,0,1,1
24,Tuesday,,,12:00:00,18:00:00,18:00:00,23:59:00,0,1,1
24,Friday,,,12:00:00,18:00:00,18:00:00,23:59:00,0,1,1
25,Sunday,,,11:00:00,16:00:00,18:00:00,23:30:00,0,1,1
25,Saturday,,,11:00:00,16:00:00,18:00:00,23:30:00,0,1,1
25,Tuesday,,,11:00:00,16:00:00,18:00:00,23:30:00,0,1,1
25,Friday,,,18:30:00,23:30:00,,,0,1,1
25,Wednesday,,,11:00:00,16:00:00,18:00:00,23:30:00,0,1,1
25,Monday,,,11:00:00,16:00:00,18:00:00,23:30:00,0,1,1
25,Thursday,,,11:00:00,16:00:00,18:00:00,23:30:00,0,1,1
26,Friday,,,17:00:00,23:45:00,,,0,1,1
26,Tuesday,,,11:30:00,17:30:00,17:30:00,23:45:00,0,1,1
26,Monday,,,11:30:00,17:30:00,17:30:00,23:45:00,0,1,1
26,Thursday,,,11:30:00,17:30:00,17:30:00,23:45:00,0,1,1
26,Wednesday,,,11:30:00,17:30:00,17:30:00,23:45:00,0,1,1
26,Saturday,,,11:30:00,17:30:00,17:30:00,23:45:00,0,1,1
26,Sunday,,,11:30:00,17:30:00,17:30:00,23:45:00,0,1,1
27,Sunday,,,12:30:00,18:00:00,18:00:00,23:59:00,0,1,1
27,Saturday,,,12:30:00,18:00:00,18:00:00,23:59:00,0,1,1
27,Tuesday,,,12:30:00,18:00:00,18:00:00,23:59:00,0,1,1
